City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,inirida,3.8653,-67.9239,24.02,98,100,0.42,CO,2023-04-23
1,junin de los andes,-39.9504,-71.0694,13.75,65,3,1.2,AR,2023-04-23
2,edinburgh of the seven seas,-37.0676,-12.3116,15.47,86,100,12.3,SH,2023-04-23
3,albany,42.6001,-73.9662,11.61,86,97,2.9,US,2023-04-23
4,hamilton,39.1834,-84.5333,8.82,53,100,6.17,US,2023-04-23
5,atafu village,-8.5421,-172.5159,28.67,73,34,2.22,TK,2023-04-23
6,grytviken,-54.2811,-36.5092,3.52,96,100,5.2,GS,2023-04-23
7,iqaluit,63.7506,-68.5145,-0.15,100,100,5.14,CA,2023-04-23
8,klyuchi,52.2667,79.1667,7.59,54,89,7.56,RU,2023-04-23
9,iskateley,67.6803,53.1512,-8.34,90,25,6.31,RU,2023-04-23
10,keflavik,64.0049,-22.5624,4.95,75,0,0.51,IS,2023-04-23
11,west island,-12.1568,96.8225,26.99,89,40,4.12,CC,2023-04-23
12,santa ana,33.7456,-117.8678,29.12,65,20,6.17,US,2023-04-23
13,port elizabeth,-33.918,25.5701,19.62,86,20,1.03,ZA,2023-04-23
14,soller,39.7662,2.7152,17.24,73,64,3.42,ES,2023-04-23
15,tiksi,71.6872,128.8694,-11.61,96,80,1.71,RU,2023-04-23
16,worland,44.0169,-107.9554,14.78,23,0,2.57,US,2023-04-23
17,glencoe,-28.1783,30.147,11.19,65,66,1.03,ZA,2023-04-23
18,haiku-pauwela,20.9219,-156.3051,28.01,62,20,3.6,US,2023-04-23
19,tual,-5.6667,132.75,27.97,76,66,3.35,ID,2023-04-23
20,east london,-33.0153,27.9116,20.12,62,100,3.48,ZA,2023-04-23
21,college,64.8569,-147.8028,-8.56,54,100,11.32,US,2023-04-23
22,sandnessjoen,66.0217,12.6316,0.36,70,89,0.89,NO,2023-04-23
23,port-aux-francais,-49.35,70.2167,4.13,64,55,14.32,TF,2023-04-23
24,carnarvon,-24.8667,113.6333,22.18,74,100,5.58,AU,2023-04-23
25,ust-nera,64.5667,143.2,-6.58,91,100,3.28,RU,2023-04-23
26,ushuaia,-54.8,-68.3,6.81,57,20,3.09,AR,2023-04-23
27,avarua,-21.2078,-159.775,26.03,65,20,5.14,CK,2023-04-23
28,bishkul,54.7803,69.1033,8.27,82,76,6.24,KZ,2023-04-23
29,brookings,44.3114,-96.7984,8.99,40,75,3.6,US,2023-04-23
30,afaahiti,-17.75,-149.2833,24.93,85,100,7.25,PF,2023-04-23
31,chibougamau,49.9168,-74.3659,4.79,93,100,4.63,CA,2023-04-23
32,polyarnyy,69.1989,33.4478,-4.38,88,65,7.22,RU,2023-04-23
33,kerikeri,-35.2268,173.9474,16.06,92,58,1.34,NZ,2023-04-23
34,tutoia,-2.7619,-42.2744,26.04,86,100,3.12,BR,2023-04-23
35,adamstown,-25.066,-130.1015,24.12,91,99,8.13,PN,2023-04-23
36,christchurch,-43.5333,172.6333,13.28,52,16,4.63,NZ,2023-04-23
37,puerto natales,-51.7236,-72.4875,7.7,87,100,1.21,CL,2023-04-23
38,iwanai,42.9744,140.5089,5.75,76,85,5.9,JP,2023-04-23
39,serenje,-13.2325,30.2352,15.77,94,89,1.03,ZM,2023-04-23
40,ciudad lazaro cardenas,17.9583,-102.2,28.87,58,3,3.92,MX,2023-04-23
41,jamestown,42.097,-79.2353,6.12,65,100,4.63,US,2023-04-23
42,bilibino,68.0546,166.4372,-2.68,64,39,2.44,RU,2023-04-23
43,thompson,55.7435,-97.8558,2.09,48,20,3.6,CA,2023-04-23
44,walvis bay,-22.9575,14.5053,18.53,82,100,1.03,NA,2023-04-23
45,kristiansund,63.1115,7.732,3.03,87,75,4.12,NO,2023-04-23
46,constantia,44.1833,28.65,7.61,77,10,3.43,RO,2023-04-23
47,port mathurin,-19.6833,63.4167,26.15,81,13,8.67,MU,2023-04-23
48,dudinka,69.4058,86.1778,-0.21,83,100,6.5,RU,2023-04-23
49,kruisfontein,-34.0033,24.7314,18.32,71,100,1.67,ZA,2023-04-23
50,brokopondo,4.75,-55.1667,25.45,86,100,1.09,SR,2023-04-23
51,taguatinga,-12.3857,-46.5711,25.25,59,71,3.11,BR,2023-04-23
52,san patricio,28.017,-97.5169,21.58,86,100,4.71,US,2023-04-23
53,mwinilunga,-11.7358,24.4293,17.38,90,95,1.35,ZM,2023-04-23
54,wailua homesteads,22.0669,-159.378,26.24,76,20,2.57,US,2023-04-23
55,campo grande,-20.4428,-54.6464,22.75,88,75,4.12,BR,2023-04-23
56,invercargill,-46.4,168.35,11.68,82,83,0.89,NZ,2023-04-23
57,emerald,-23.5333,148.1667,19.08,63,1,8.55,AU,2023-04-23
58,dakhla,23.6848,-15.958,19.19,85,0,9.33,EH,2023-04-23
59,badger,64.8,-147.5333,-8.6,54,100,11.32,US,2023-04-23
60,jagatsinghapur,20.2667,86.1667,25.2,84,12,0.98,IN,2023-04-23
61,lebu,-37.6167,-73.65,12.69,82,0,5.79,CL,2023-04-23
62,oppdal,62.5943,9.6912,-2.47,97,100,2.13,NO,2023-04-23
63,bethel,41.3712,-73.414,15.83,70,0,3.09,US,2023-04-23
64,anadyr,64.75,177.4833,-5.72,85,40,12.0,RU,2023-04-23
65,i-n-salah,27.1935,2.4607,28.19,18,100,8.45,DZ,2023-04-23
66,waitangi,-43.9535,-176.5597,12.12,93,100,1.79,NZ,2023-04-23
67,papatowai,-46.5619,169.4708,10.9,67,59,9.13,NZ,2023-04-23
68,berdigestyakh,62.0989,126.6992,-5.08,93,99,5.03,RU,2023-04-23
69,sundarnagar,31.5333,76.8833,16.24,40,69,2.78,IN,2023-04-23
70,kodiak,57.79,-152.4072,3.73,38,0,7.72,US,2023-04-23
71,margaret river,-33.95,115.0667,13.81,69,100,9.4,AU,2023-04-23
72,sirte,31.2089,16.5887,17.2,84,93,4.87,LY,2023-04-23
73,madang,-5.2246,145.7966,25.75,89,100,1.89,PG,2023-04-23
74,puerto baquerizo moreno,-0.9,-89.6,28.55,74,40,5.14,EC,2023-04-23
75,robore,-18.3333,-59.75,23.43,63,56,0.47,BO,2023-04-23
76,yuzhno-kurilsk,44.0306,145.8556,2.49,81,75,5.3,RU,2023-04-23
77,dryden,49.7833,-92.7503,3.16,32,20,2.57,CA,2023-04-23
78,arraial do cabo,-22.9661,-42.0278,21.92,78,0,1.03,BR,2023-04-23
79,aspen,39.1911,-106.8175,9.04,29,20,3.09,US,2023-04-23
80,stanley,54.868,-1.6985,5.44,87,40,5.14,GB,2023-04-23
81,minas de marcona,-15.2119,-75.1103,20.28,64,1,6.59,PE,2023-04-23
82,gamboma,-1.8764,15.8644,22.15,93,100,1.16,CG,2023-04-23
83,inari,68.906,27.0288,-5.89,82,35,2.54,FI,2023-04-23
84,cuencame de ceniceros,24.8711,-103.6964,30.57,8,30,3.61,MX,2023-04-23
85,namdrik,5.5994,168.1028,28.44,78,91,8.0,MH,2023-04-23
86,puerto ayora,-0.7393,-90.3518,29.98,87,59,3.13,EC,2023-04-23
87,la passe,45.5549,-0.8967,12.13,84,18,6.23,FR,2023-04-23
88,luderitz,-26.6481,15.1594,18.9,48,100,1.83,NA,2023-04-23
89,weno,7.4515,151.8468,28.51,76,99,2.63,FM,2023-04-23
90,severo-yeniseyskiy,60.3725,93.0408,-0.44,87,100,3.01,RU,2023-04-23
91,petropavl,54.8753,69.1628,8.15,82,72,6.34,KZ,2023-04-23
92,sodra sandby,56.5667,16.6167,7.16,94,80,3.42,SE,2023-04-23
93,alpine,32.835,-116.7664,27.43,51,0,3.09,US,2023-04-23
94,naze,28.3667,129.4833,20.51,80,38,6.08,JP,2023-04-23
95,kone,-21.0595,164.8658,26.02,80,63,2.46,NC,2023-04-23
96,tocopilla,-22.092,-70.1979,20.61,79,12,2.62,CL,2023-04-23
97,el dorado,38.7666,-120.5177,22.11,50,18,1.34,US,2023-04-23
98,hasaki,35.7333,140.8333,12.9,59,100,8.5,JP,2023-04-23
99,marivan,35.5219,46.176,12.45,67,44,3.0,IR,2023-04-23
100,taoudenni,22.6783,-3.9836,30.74,9,0,2.32,ML,2023-04-23
101,vernon,50.2581,-119.2691,10.89,80,100,2.06,CA,2023-04-23
102,kapuskasing,49.4169,-82.4331,1.0,80,100,3.6,CA,2023-04-23
103,hermanus,-34.4187,19.2345,18.22,91,100,3.91,ZA,2023-04-23
104,st. john's,47.5649,-52.7093,3.71,96,100,9.39,CA,2023-04-23
105,tura,25.5198,90.2201,17.89,74,22,1.29,IN,2023-04-23
106,blackmans bay,-43.0167,147.3167,9.85,86,34,2.41,AU,2023-04-23
107,rio grande,-32.035,-52.0986,21.06,87,100,4.83,BR,2023-04-23
108,yellowknife,62.456,-114.3525,10.29,40,20,3.6,CA,2023-04-23
109,lobujya,27.95,86.8167,-13.61,37,0,2.58,NP,2023-04-23
110,ribeira grande,38.5167,-28.7,17.65,92,100,5.81,PT,2023-04-23
111,nishinoomote,30.7333,131.0,19.05,63,36,10.07,JP,2023-04-23
112,manaure,11.7751,-72.4445,26.41,75,82,4.53,CO,2023-04-23
113,manta,-0.95,-80.7333,26.88,83,75,1.54,EC,2023-04-23
114,nema,57.5067,50.5011,8.22,73,80,1.64,RU,2023-04-23
115,rongelap,11.1635,166.8941,27.11,83,67,9.86,MH,2023-04-23
116,puerto rosario,-24.45,-57.0833,21.2,73,0,0.97,PY,2023-04-23
117,jeddah,21.5169,39.2192,29.92,70,0,0.0,SA,2023-04-23
118,tsiombe,-25.3,45.4833,21.33,85,100,2.28,MG,2023-04-23
119,trapani,37.8333,12.6667,13.83,88,0,3.6,IT,2023-04-23
120,el porvenir,13.7617,-87.3458,31.63,49,77,2.71,HN,2023-04-23
121,novyy urgal,51.0736,132.5642,1.02,64,86,3.62,RU,2023-04-23
122,connell,46.6635,-118.8611,21.09,69,95,5.38,US,2023-04-23
123,nar'yan-mar,67.6713,53.087,-8.26,91,24,6.34,RU,2023-04-23
124,ogulin,45.2661,15.2286,9.72,82,62,2.46,HR,2023-04-23
125,tazovsky,67.4667,78.7,0.04,97,100,7.07,RU,2023-04-23
126,codrington,-38.2667,141.9667,11.91,81,0,2.97,AU,2023-04-23
127,asau,46.4333,26.4,6.51,83,86,1.35,RO,2023-04-23
128,bel ombre,-4.6167,55.4167,27.91,83,40,3.09,SC,2023-04-23
129,pisco,-13.7,-76.2167,25.03,69,0,7.72,PE,2023-04-23
130,uturoa,-16.7333,-151.4333,28.13,76,93,5.74,PF,2023-04-23
131,howard springs,-12.497,131.047,24.95,87,30,3.21,AU,2023-04-23
